Date,NumberofGames,DayofWeek,VisitingTeam,VisitingTeamLeague,VisitingTeamGameNumber,HomeTeam,HomeTeamLeague,HomeTeamGameNumber,VistingTeamScore,HomeTeamScore,NumberofOuts,DayNight,Completition_Information,Forfeit_Information,Protest_Information,BallParkID,Attendance
2000-04-18,0,Tue,COL,NL,15,ARI,NL,14,1,7,51,N,,,,PHO01,30275
2000-04-18,0,Tue,PHI,NL,12,ATL,NL,13,3,4,69,N,,,,ATL02,34903
2000-04-18,0,Tue,SFN,NL,13,CIN,NL,14,13,9,54,N,,,,CIN08,25888
2000-04-18,0,Tue,PIT,NL,13,FLO,NL,15,5,12,51,N,,,,MIA01,9494
2000-04-18,0,Tue,HOU,NL,13,LAN,NL,13,3,5,51,N,,,,LOS03,26298
2000-04-18,0,Tue,CHN,NL,16,MON,NL,13,3,4,51,N,,,,MON02,9975
2000-04-18,0,Tue,MIL,NL,14,NYN,NL,14,7,10,51,N,,,,NYC17,17905
2000-04-18,0,Tue,SDN,NL,14,SLN,NL,14,4,5,51,N,,,,STL09,32062
2000-04-18,0,Tue,SEA,AL,13,CHA,AL,14,11,18,51,N,,,,CHI12,9898
2000-04-18,0,Tue,OAK,AL,14,CLE,AL,13,8,5,54,N,,,,CLE08,40551
2000-04-18,0,Tue,BOS,AL,14,DET,AL,13,7,0,54,N,,,,DET05,21632
2000-04-18,0,Tue,KCA,AL,15,MIN,AL,15,1,3,51,N,,,,MIN03,6630
2000-04-18,0,Tue,NYA,AL,13,TEX,AL,14,6,3,54,N,,,,ARL02,43644
2000-04-18,0,Tue,ANA,AL,14,TOR,AL,15,16,10,54,N,,,,TOR02,13825
2000-04-19,0,Wed,COL,NL,16,ARI,NL,15,7,8,51,N,,,,PHO01,31237
2000-04-19,0,Wed,PHI,NL,13,ATL,NL,14,1,10,51,N,,,,ATL02,29992
2000-04-19,0,Wed,SFN,NL,14,CIN,NL,15,4,5,51,N,,,,CIN08,22795
2000-04-19,0,Wed,PIT,NL,14,FLO,NL,16,5,1,54,N,,,,MIA01,10911
2000-04-19,0,Wed,HOU,NL,14,LAN,NL,14,10,3,54,N,,,,LOS03,29717
2000-04-19,0,Wed,CHN,NL,17,MON,NL,14,3,7,51,N,,,,MON02,10112
2000-04-19,0,Wed,MIL,NL,15,NYN,NL,15,1,3,51,N,,,,NYC17,18001
2000-04-19,0,Wed,SDN,NL,15,SLN,NL,15,3,4,51,N,,,,STL09,27997
2000-04-19,0,Wed,TBA,AL,14,BAL,AL,13,2,3,51,N,,,,BAL12,40077
2000-04-19,0,Wed,SEA,AL,14,CHA,AL,15,2,5,51,D,,,,CHI12,8425
2000-04-19,0,Wed,OAK,AL,15,CLE,AL,14,10,5,54,N,,,,CLE08,40531
2000-04-19,0,Wed,BOS,AL,15,DET,AL,14,10,0,54,N,,,,DET05,20526
2000-04-19,0,Wed,KCA,AL,16,MIN,AL,16,6,7,53,N,,,,MIN03,7606
2000-04-19,0,Wed,NYA,AL,14,TEX,AL,15,5,4,60,D,,,,ARL02,39294
2000-04-19,0,Wed,ANA,AL,15,TOR,AL,16,4,12,51,N,,,,TOR02,13572
2000-04-20,0,Thu,COL,NL,17,ARI,NL,16,0,3,51,N,,,,PHO01,34458
2000-04-20,0,Thu,PHI,NL,14,ATL,NL,15,4,6,51,N,,,,ATL02,31451
2000-04-20,0,Thu,SFN,NL,15,CIN,NL,16,1,11,51,D,,,,CIN08,27003
2000-04-20,0,Thu,PIT,NL,15,FLO,NL,17,2,3,83,N,,,,MIA01,9396
2000-04-20,0,Thu,CHN,NL,18,MON,NL,15,10,6,54,N,,,,MON02,12186
2000-04-20,0,Thu,MIL,NL,16,NYN,NL,16,4,5,58,N,,,,NYC17,17002
2000-04-20,0,Thu,SDN,NL,16,SLN,NL,16,1,14,51,N,,,,STL09,32510
2000-04-20,0,Thu,TBA,AL,15,BAL,AL,14,4,8,51,D,,,,BAL12,34536
2000-04-20,0,Thu,OAK,AL,16,CLE,AL,15,5,9,51,N,,,,CLE08,42134
2000-04-20,0,Thu,KCA,AL,17,MIN,AL,17,7,9,51,D,,,,MIN03,9213
2000-04-20,0,Thu,ANA,AL,16,TOR,AL,17,11,12,51,N,,,,TOR02,13985
2000-04-21,0,Fri,SFN,NL,16,ARI,NL,17,11,5,54,N,,,,PHO01,40929
2000-04-21,0,Fri,PIT,NL,16,ATL,NL,16,2,6,51,N,,,,ATL02,33790
2000-04-21,0,Fri,LAN,NL,15,CIN,NL,17,9,2,54,N,,,,CIN08,34458
2000-04-21,0,Fri,PHI,NL,15,FLO,NL,18,4,3,54,N,,,,MIA01,15478
2000-04-21,0,Fri,SDN,NL,17,HOU,NL,15,7,2,54,N,,,,HOU03,42092
2000-04-21,0,Fri,MIL,NL,17,MON,NL,16,1,5,51,N,,,,MON02,12315
2000-04-21,0,Fri,COL,NL,18,SLN,NL,17,6,4,54,N,,,,STL09,34966
2000-04-21,0,Fri,DET,AL,15,CHA,AL,16,2,7,51,N,,,,CHI12,11278
2000-04-21,0,Fri,BAL,AL,15,OAK,AL,17,11,9,54,N,,,,OAK01,11802
2000-04-21,0,Fri,KCA,AL,18,SEA,AL,15,2,10,51,N,,,,SEA03,37034
2000-04-21,0,Fri,ANA,AL,17,TBA,AL,16,9,6,54,N,,,,STP01,22221
2000-04-21,0,Fri,MIN,AL,18,TEX,AL,16,10,5,54,N,,,,ARL02,35155
2000-04-21,0,Fri,NYA,AL,15,TOR,AL,18,3,8,51,D,,,,TOR02,25921
2000-04-22,0,Sat,SFN,NL,17,ARI,NL,18,8,6,54,D,,,,PHO01,45659
2000-04-22,0,Sat,PIT,NL,17,ATL,NL,17,2,4,51,N,,,,ATL02,41389
2000-04-22,0,Sat,LAN,NL,16,CIN,NL,18,16,2,54,D,,,,CIN08,35557
2000-04-22,0,Sat,PHI,NL,16,FLO,NL,19,2,4,51,N,,,,MIA01,22787
2000-04-22,0,Sat,SDN,NL,18,HOU,NL,16,8,6,60,D,,,,HOU03,42121
2000-04-22,0,Sat,MIL,NL,18,MON,NL,17,7,3,54,N,,,,MON02,14461
2000-04-22,1,Sat,CHN,NL,19,NYN,NL,17,3,8,51,D,,,,NYC17,0
2000-04-22,2,Sat,CHN,NL,20,NYN,NL,18,6,7,51,D,,,,NYC17,32204
2000-04-22,0,Sat,COL,NL,19,SLN,NL,18,7,6,54,N,,,,STL09,42901
2000-04-22,0,Sat,DET,AL,16,CHA,AL,17,6,14,51,D,,,,CHI12,16410
2000-04-22,0,Sat,BAL,AL,16,OAK,AL,18,4,3,54,D,,,,OAK01,23783
2000-04-22,0,Sat,KCA,AL,19,SEA,AL,16,2,4,51,D,,,,SEA03,38200
2000-04-22,0,Sat,ANA,AL,18,TBA,AL,17,9,11,59,D,,,,STP01,22042
2000-04-22,0,Sat,MIN,AL,19,TEX,AL,17,3,8,51,N,,,,ARL02,42659
2000-04-22,0,Sat,NYA,AL,16,TOR,AL,19,2,8,51,D,,,,TOR02,30167
2000-04-23,0,Sun,SFN,NL,18,ARI,NL,19,12,7,54,D,,,,PHO01,35879
2000-04-23,0,Sun,PIT,NL,18,ATL,NL,18,3,5,51,D,,,,ATL02,29463
2000-04-23,0,Sun,LAN,NL,17,CIN,NL,19,11,3,54,D,,,,CIN08,29124
2000-04-23,0,Sun,PHI,NL,17,FLO,NL,20,2,5,51,D,,,,MIA01,11442
2000-04-23,0,Sun,SDN,NL,19,HOU,NL,17,11,10,54,D,,,,HOU03,38695
2000-04-23,0,Sun,MIL,NL,19,MON,NL,18,4,6,51,D,,,,MON02,14410
2000-04-23,0,Sun,CHN,NL,21,NYN,NL,19,8,15,51,D,,,,NYC17,27560
2000-04-23,0,Sun,COL,NL,20,SLN,NL,19,3,6,39,D,,,,STL09,30253
2000-04-23,0,Sun,DET,AL,17,CHA,AL,18,4,9,51,D,,,,CHI12,12154
2000-04-23,0,Sun,BAL,AL,17,OAK,AL,19,2,3,63,N,,,,OAK01,14289
2000-04-23,0,Sun,KCA,AL,20,SEA,AL,17,5,8,51,D,,,,SEA03,29701
2000-04-23,0,Sun,ANA,AL,19,TBA,AL,18,0,1,51,D,,,,STP01,15601
2000-04-23,0,Sun,MIN,AL,20,TEX,AL,18,5,4,54,D,,,,ARL02,30081
2000-04-23,0,Sun,NYA,AL,17,TOR,AL,20,10,7,54,D,,,,TOR02,20485
2000-04-24,0,Mon,PHI,NL,18,FLO,NL,21,1,3,51,N,,,,MIA01,9344
2000-04-24,0,Mon,LAN,NL,18,NYN,NL,20,0,1,52,D,,,,NYC17,37987
